time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-01-27T13:51:03.440Z,33.4671667,-116.475,4.39,0.93,ml,33,83,0.06959,0.23,ci,ci38093488,2018-01-27T13:54:38.056Z,"21km ESE of Anza, CA",earthquake,0.29,0.58,0.139,27,automatic,ci,ci
2018-01-27T13:49:04.502Z,36.7492,-116.2598,3.3,0.2,ml,17,82.27,0.044,0.1415,nn,nn00619819,2018-01-27T16:00:03.511Z,"47km ESE of Beatty, Nevada",earthquake,,1.3,0.32,12,reviewed,nn,nn
2018-01-27T13:47:32.199Z,38.4659,-119.3478,7.2,1,ml,11,104.03,0.081,0.2121,nn,nn00619810,2018-01-27T15:40:57.824Z,"25km NNW of Bridgeport, California",earthquake,,3.1,0.51,4,reviewed,nn,nn
2018-01-27T13:44:20.861Z,61.789,-148.2109,13.9,3,ml,,,,0.63,ak,ak18208788,2018-01-27T19:45:43.389Z,"40km E of Sutton-Alpine, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2018-01-27T13:34:42.180Z,56.0346,-149.8327,28.66,3.7,mb,,179,2.249,0.97,us,us2000cqcl,2018-01-27T14:31:37.040Z,"250km SE of Kodiak, Alaska",earthquake,6.3,7.9,0.226,5,reviewed,us,us
2018-01-27T13:27:55.600Z,19.0785007,-155.4266663,42.85,2.03,md,14,261,0.2439,0.12,hv,hv70022802,2018-01-27T13:30:56.790Z,"15km SSE of Pahala, Hawaii",earthquake,3.09,3,0.14,3,automatic,hv,hv
2018-01-27T13:19:17.835Z,38.7274,-119.5471,5.7,1.2,ml,7,154.25,0.239,0.0765,nn,nn00619817,2018-01-27T15:37:41.641Z,"18km WSW of Smith Valley, Nevada",earthquake,,9.7,0.38,3,reviewed,nn,nn
2018-01-27T12:59:41.836Z,61.7378,-148.2119,13.2,1.1,ml,,,,0.38,ak,ak18208762,2018-01-27T13:05:27.172Z,"34km E of Sutton-Alpine, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-01-27T12:51:35.399Z,59.6735,-151.6,33.2,3,ml,,,,0.78,ak,ak18208756,2018-01-27T17:37:04.482Z,"2km W of Diamond Ridge, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-01-27T12:48:52.658Z,39.6373,-120.0271,8.5,1.4,ml,21,104.6,0.059,0.1911,nn,nn00619814,2018-01-27T15:28:04.272Z,"6km SW of Cold Springs, Nevada",earthquake,,1.7,0.33,11,reviewed,nn,nn
2018-01-27T12:47:56.300Z,33.7400017,-117.4885025,10.82,3.43,ml,107,41,0.02243,0.25,ci,ci38093472,2018-01-28T00:59:50.487Z,"11km SSE of El Cerrito, California",earthquake,0.25,0.52,0.352,17,automatic,ci,ci
2018-01-27T12:43:40.430Z,35.7418333,-118.0743333,0.01,0.8,ml,10,115,0.1444,0.23,ci,ci38093464,2018-01-27T12:47:35.057Z,"26km WNW of Inyokern, CA",earthquake,0.46,31.61,0.039,10,automatic,ci,ci
2018-01-27T12:40:02.300Z,36.0497,53.1233,10,4.1,mb,,164,4.416,0.58,us,us2000cqca,2018-01-27T14:30:24.893Z,"57km S of Shari-i-Tajan, Iran",earthquake,7,1.9,0.127,17,reviewed,us,us
2018-01-27T12:34:16.610Z,38.8266678,-122.8550034,2.13,1.37,md,20,71,0.001703,0.03,nc,nc72959436,2018-01-27T14:07:02.284Z,"10km WNW of The Geysers, CA",earthquake,0.25,0.38,0.03,6,automatic,nc,nc
